Driver,Total Races,Wins,Podiums,Top 10 Finishes,Average Finish,Win Percentage
Michael Schumacher MSC,297,90,153,222,6.67003367003367,30.303030303030305
Lewis Hamilton HAM,254,89,156,222,4.751968503937008,35.039370078740156
Sebastian Vettel VET,244,53,118,196,6.151639344262295,21.721311475409834
Alain Prost PRO,193,51,106,136,7.025906735751295,26.42487046632124
Ayrton Senna SEN,153,41,79,104,7.771241830065359,26.797385620915033
Fernando Alonso ALO,310,32,96,206,8.245161290322581,10.32258064516129
Nigel Mansell MAN,181,31,59,90,10.574585635359115,17.12707182320442
Jackie Stewart STE,98,27,42,63,7.357142857142857,27.55102040816326
Niki Lauda LAU,168,25,54,84,10.607142857142858,14.880952380952381
Jim Clark CLA,73,25,32,49,7.287671232876712,34.24657534246575
Nelson Piquet PIQ,225,23,60,123,10.071111111111112,10.222222222222223
Nico Rosberg ROS,202,23,57,141,8.247524752475247,11.386138613861387
Juan Manuel Fangio FAN,56,23,35,45,4.803571428571429,41.07142857142857
Damon Hill HIL,114,22,42,70,8.81578947368421,19.298245614035086
Kimi RÃ¤ikkÃ¶nen RAI,319,21,102,224,8.084639498432601,6.583072100313479
Mika Hakkinen HAK,158,20,51,96,9.405063291139241,12.658227848101266
Stirling Moss MOS,69,15,22,36,9.333333333333334,21.73913043478261
Jenson Button BUT,302,15,48,177,9.668874172185431,4.966887417218543
Jack Brabham BRA,126,15,32,73,9.015873015873016,11.904761904761903
Graham Hill HIL,173,14,37,93,9.942196531791907,8.092485549132949
